#TAG;MARK;NAME;DESCRIPTION;CATEGORY;SECTION;NOTE
;;nitrogen;wallpaper browser and changing utility for X;wallpaper manager;x11;
;;nload;realtime console network usage monitor;;net;
;;notable;The Markdown-based note-taking app that doesn't suck;PIM manager;default;
;;ntfs-3g;read/write NTFS driver for FUSE;;otherosfs;
;rice;obconf;preferences manager for Openbox window manager;;x11;
;;obmenu;sudo apt-get install awn;;x11;
;;obs-studio;recorder and streamer for live video content;;video;
proprietary;;openbox;standards-compliant, fast, light-weight and extensible window manager;;x11;
;rice;papirus-icon-theme;Papirus open source icon theme for Linux;icon theme;x11;
;;partclone;Utility to clone and restore a partition;;admin;
;;pcmanfm;extremely fast and lightweight file manager;;utils;
;;puddletag;simple, powerful audio tag editor;;sound;
;rice;pulsemixer;command-line mixer for PulseAudio with a curses interface;;sound;
;rice;putty;Telnet/SSH client for X;;net;
;;python3;interactive high-level object-oriented language;;python;
;rice;qemu qemu-kvm virt-manager;virtual machine;;otherosfs;
;rice;qt5ct;Qt5 Configuration Utility;;utils;
;;ranger;File manager with an ncurses frontend written in Python;file manager;;
;;rclone;rsync for commercial cloud storage;;net;
;;redshift-gtk;Adjusts the color temperature of your screen with GTK+ integration;;x11;
;rice;remmina;GTK+ Remote Desktop Client;;gnome;
proprietary;;rlinux;R-Linux is a file recover utility for the Ext2/3/4FS file system used in the Linux OS and several Unixes.;;system;
;rice;rofi;window switcher, run dialog and dmenu replacement;;x11;
;rice;rsync;fast, versatile, remote (and local) file-copying tool;;net;
;;scrcpy;provides display and control of Android devices;;;
;rice;screen;terminal multiplexer with VT100/ANSI terminal emulation;;misc;
;;screenkey;screencast tool to display your keystrokes;;python;
;;sdcv;StarDict Console Version;;utils;
;;sed;GNU stream editor for filtering/transforming text;;utils;
;rice;shades-of-grey;A flat dark GTK-theme with ergonomic contrasts;theme;;
;;shc;Generic shell script compiler;;devel;
;rice;simplescreenrecorder;Feature-rich screen recorder for X11 and OpenGL;;video;
;;slim;x-display-manager;DM display manager;x11;
;rice;snapd;Daemon and tooling that enable snap packages ;;devel;
;rice;socat;multipurpose relay for bidirectional data transfer;;net;
;;source-highlight;convert source code to syntax highlighted document;;devel;
;;ssh-askpass;under X, asks user for a passphrase for ssh-add;;net;
;rice;sshfs;filesystem client based on SSH File Transfer Protocol;;utils;
;;stardict;International dictionary;;utils;
;rice;stress;tool to impose load on and stress test a computer system;;devel;
;;surf;Simple web browser by suckless community;web browser;web;
proprietary;;sxhkd;Simple X hotkey daemon;;x11;
;;sxiv;simple X image viewer;image viewer;graphics;
;rice;synaptic;graphical package manager;package manager;admin;
;openbox;syncthing;decentralized file synchronization;;devel;
;rice;syncthing-gtk;GTK3-based GUI and notification area icon for syncthing;;net;
;;tar;GNU version of the tar archiving utility;;utils;
;rice;taskd;Synchronisation server for taskwarrior;;utils;
;rice;tasksh; shell command that wraps Taskwarrior commands;;utils;
;;taskwarrior;feature-rich console based todo list manager;;utils;
;rice;taskwarrior-tui;A Terminal User Interface for Taskwarrior;;;
;;telegram-desktop;official telegram messaging app;messenger;net;
;;tigervnc-standalone-server;Standalone virtual network computing server;;x11;
;rice;tigervnc-viewer;Virtual network computing client for X;;x11;
;;timeshift;system restore utility;;;
;rice;timidity;Software sound renderer (MIDI sequencer, MOD player);;sound;
;rice;tint2;lightweight taskbar;;x11;
;rice;tlp tlp-rdw tlpui;advanced power management tool for Linux;power management;utils;
;rice;tmux;terminal multiplexer;;admin;
proprietary;rice;tree;displays an indented directory tree, in color;;utils;
;rice;ufw;program for managing a Netfilter firewall;;admin;
